t h j deltafi cs
2.045454545454545412e+06 7.049320581881072384e-04 9.554446976848947060e+00 -8.977202942592713009e-02 1.671267465485200832e-01
2.121212121212121099e+06 7.315517473747929020e-04 9.568150385810316294e+00 -8.973188990080124827e-02 1.674982152625196230e-01
2.196969696969697252e+06 7.582096528658586283e-04 9.581923537523259427e+00 -8.969156577055947821e-02 1.678719967938698820e-01
2.272727272727272939e+06 7.849059620542628811e-04 9.595767033246424660e+00 -8.965105549126570206e-02 1.682481143136529134e-01
2.348484848484848626e+06 8.116408648391043850e-04 9.609681482025093757e+00 -8.961035749908499715e-02 1.686265913247548542e-01
2.424242424242424313e+06 8.384145536256206073e-04 9.623667500804744535e+00 -8.956947021000240261e-02 1.690074516674821004e-01
2.500000000000000000e+06 8.652272233251890590e-04 9.637725714546641953e+00 -8.952839201953666226e-02 1.693907195252894737e-01
2.575757575757575687e+06 8.920790713553265359e-04 9.651856756345502220e+00 -8.948712130244897145e-02 1.697764194306272123e-01
2.651515151515151374e+06 9.189702976396891187e-04 9.666061267549252989e+00 -8.944565641244643650e-02 1.701645762709075860e-01
2.727272727272727527e+06 9.459011046080726065e-04 9.680339897880957167e+00 -8.940399568188032997e-02 1.705552152945931377e-01
2.803030303030303214e+06 9.728716971964121918e-04 9.694693305562951835e+00 -8.936213742143887806e-02 1.709483621174108237e-01
2.878787878787878901e+06 9.998822828467823515e-04 9.709122157443205836e+00 -8.932007991983453854e-02 1.713440427286954670e-01
2.954545454545454588e+06 1.026933071507397282e-03 9.723627129123993740e+00 -8.927782144348561655e-02 1.717422834978633295e-01
3.030303030303030275e+06 1.054024275632610462e-03 9.738208905092912815e+00 -8.923536023619213498e-02 1.721431111810220183e-01
3.106060606060605962e+06 1.081156110182915093e-03 9.752868178856296311e+00 -8.919269451880580679e-02 1.725465529277182830e-01
3.181818181818182115e+06 1.108328792624943982e-03 9.767605653075058569e+00 -8.914982248889402605e-02 1.729526362878263390e-01
3.257575757575757802e+06 1.135542542931468465e-03 9.782422039703075001e+00 -8.910674232039760001e-02 1.733613892185823513e-01
3.333333333333333489e+06 1.162797583581400788e-03 9.797318060128077377e+00 -8.906345216328238890e-02 1.737728400917669114e-01
3.409090909090909176e+06 1.190094139559790855e-03 9.812294445315195901e+00 -8.901995014318433985e-02 1.741870177010399479e-01
3.484848484848484863e+06 1.217432438357830132e-03 9.827351935953135609e+00 -8.897623436104806771e-02 1.746039512694309848e-01
3.560606060606060550e+06 1.244812709972847528e-03 9.842491282603113234e+00 -8.893230289275876055e-02 1.750236704569904655e-01
