t h j cs
1.247474747474747598e+08 4.452874903120178363e-03 1.307186097276268555e+00 2.484712850190624600e-01
1.266666666666666716e+08 4.545716383441967406e-03 1.326260208117712169e+00 2.502669508805220877e-01
1.285858585858585835e+08 4.639880289187625108e-03 1.346177246682007667e+00 2.521458056498562250e-01
1.305050505050505102e+08 4.735432649404324075e-03 1.367002367037415178e+00 2.541145224965348781e-01
1.324242424242424369e+08 4.832448096622442291e-03 1.388808754909130361e+00 2.561806161726596365e-01
1.343434343434343338e+08 4.931009866855561377e-03 1.411678685823563928e+00 2.583525595056275215e-01
1.362626262626262605e+08 5.031209799600474403e-03 1.435704757874792792e+00 2.606399200295129726e-01
1.381818181818181872e+08 5.133148337837177208e-03 1.460991334114296381e+00 2.630535209784273798e-01
1.401010101010101140e+08 5.236934528028871008e-03 1.487656237821097793e+00 2.656056319087793938e-01
1.420202020202020407e+08 5.342686020121964127e-03 1.515832754388323877e+00 2.683101955568460983e-01
1.439393939393939376e+08 5.450529067546068529e-03 1.545672006944489141e+00 2.711830992691419695e-01
1.458585858585858643e+08 5.560598527214008491e-03 1.577345790028224615e+00 2.742425015967161483e-01
1.477777777777777910e+08 5.673037859521809327e-03 1.611049967895806567e+00 2.775092275997554925e-01
1.496969696969696879e+08 5.787999128348699993e-03 1.647008573051217839e+00 2.810072503177807324e-01
1.516161616161616147e+08 5.905643001057123490e-03 1.685478778682482970e+00 2.847642810728803209e-01
1.535353535353535414e+08 6.026138748492722123e-03 1.726756969099981331e+00 2.888124982871363988e-01
1.554545454545454681e+08 6.149664244984346176e-03 1.771186199528936189e+00 2.931894540253351389e-01
1.573737373737373948e+08 6.276405968344051303e-03 1.819165427114319611e+00 2.979392105510986211e-01
1.592929292929292917e+08 6.406641901286283698e-03 1.871195064144761666e+00 3.031171748958169099e-01
1.612121212121212184e+08 6.542213451525808778e-03 1.928542743960433681e+00 3.088574225813447427e-01
1.631313131313131452e+08 6.682901040207836832e-03 1.991802103481807640e+00 3.152298610590924532e-01
1.650505050505050421e+08 6.827886670010785593e-03 2.061373138000628824e+00 3.222874841546881086e-01
1.669696969696969688e+08 6.976836777226220164e-03 2.137950712761536032e+00 3.301161872909089690e-01
1.688888888888888955e+08 7.129902231758834807e-03 2.222621054149859887e+00 3.388464810943319083e-01
1.708080808080808222e+08 7.287718337126467688e-03 2.316998501118778364e+00 3.486705138114812863e-01
1.727272727272727489e+08 7.451404830460093935e-03 2.423421825041762734e+00 3.598672169706150781e-01
1.746464646464646459e+08 7.622565882503827377e-03 2.545243271109885352e+00 3.728405254636262267e-01
1.765656565656565726e+08 7.803290097614925744e-03 2.687268266005606421e+00 3.881796330725310051e-01
1.784848484848484993e+08 7.996150513763780263e-03 2.856449425371668127e+00 4.067580749867064638e-01
1.804040404040403962e+08 8.204204602533918256e-03 3.063025404391772177e+00 4.299044490305820032e-01
1.823232323232323229e+08 8.430994269122017021e-03 3.322465551185420196e+00 4.597121324087060090e-01
1.842424242424242496e+08 8.680545852337882146e-03 3.658921940431102637e+00 4.996341679770178734e-01
1.861616161616161764e+08 8.957370124604464856e-03 4.111558702099415541e+00 5.556994416488217903e-01
1.880808080808081031e+08 9.268858578805055579e-03 4.751811009449453671e+00 6.399185516195617929e-01
1.900000000000000000e+08 9.636208350413111995e-03 5.746656401952663806e+00 7.833253239285473679e-01
